1692609336.92022,../../Data/AerialImages/Polatli/frame_1080.tif,416934,4402844,1243,-15
1692609338.58505,../../Data/AerialImages/Polatli/frame_1081.tif,416926,4402896,1243,-10
1692609339.71738,../../Data/AerialImages/Polatli/frame_1082.tif,416922,4402932,1243,-7
1692609340.74568,../../Data/AerialImages/Polatli/frame_1083.tif,416919,4402964,1243,-5
1692609341.8802,../../Data/AerialImages/Polatli/frame_1084.tif,416917,4402999,1243,-4
1692609343.04878,../../Data/AerialImages/Polatli/frame_1085.tif,416916,4403036,1243,-2
1692609344.1748,../../Data/AerialImages/Polatli/frame_1086.tif,416916,4403071,1243,-1
1692609345.31934,../../Data/AerialImages/Polatli/frame_1087.tif,416915,4403107,1243,0
1692609346.45713,../../Data/AerialImages/Polatli/frame_1088.tif,416916,4403142,1243,0
1692609347.7315,../../Data/AerialImages/Polatli/frame_1089.tif,416917,4403182,1243,0
1692609348.74002,../../Data/AerialImages/Polatli/frame_1090.tif,416918,4403213,1243,2
1692609349.88787,../../Data/AerialImages/Polatli/frame_1091.tif,416919,4403249,1243,2
1692609350.62709,../../Data/AerialImages/Polatli/frame_1092.tif,416920,4403272,1243,2
1692609352.34994,../../Data/AerialImages/Polatli/frame_1093.tif,416922,4403325,1243,1
1692609353.32035,../../Data/AerialImages/Polatli/frame_1094.tif,416923,4403355,1243,1
1692609354.54892,../../Data/AerialImages/Polatli/frame_1095.tif,416925,4403394,1243,2
1692609355.61968,../../Data/AerialImages/Polatli/frame_1096.tif,416926,4403426,1243,3
1692609356.76169,../../Data/AerialImages/Polatli/frame_1097.tif,416928,4403462,1243,2
1692609357.91657,../../Data/AerialImages/Polatli/frame_1098.tif,416929,4403498,1243,2
1692609359.07879,../../Data/AerialImages/Polatli/frame_1099.tif,416931,4403533,1243,3
1692609360.19298,../../Data/AerialImages/Polatli/frame_1100.tif,416932,4403568,1243,2
1692609361.48246,../../Data/AerialImages/Polatli/frame_1101.tif,416934,4403607,1243,2
1692609362.48325,../../Data/AerialImages/Polatli/frame_1102.tif,416936,4403638,1242,3
1692609363.6328,../../Data/AerialImages/Polatli/frame_1103.tif,416937,4403673,1242,2
1692609364.37514,../../Data/AerialImages/Polatli/frame_1104.tif,416938,4403695,1242,2
1692609366.02215,../../Data/AerialImages/Polatli/frame_1105.tif,416941,4403746,1242,4
1692609367.05368,../../Data/AerialImages/Polatli/frame_1106.tif,416943,4403778,1242,3
1692609368.2178,../../Data/AerialImages/Polatli/frame_1107.tif,416945,4403814,1242,4
1692609369.38787,../../Data/AerialImages/Polatli/frame_1108.tif,416948,4403849,1242,8
1692609370.68453,../../Data/AerialImages/Polatli/frame_1109.tif,416950,4403888,1242,5
1692609371.87399,../../Data/AerialImages/Polatli/frame_1110.tif,416953,4403924,1242,3
1692609372.81922,../../Data/AerialImages/Polatli/frame_1111.tif,416955,4403953,1241,3
1692609373.93256,../../Data/AerialImages/Polatli/frame_1112.tif,416957,4403986,1241,3
1692609375.06775,../../Data/AerialImages/Polatli/frame_1113.tif,416958,4404021,1241,3
1692609376.36427,../../Data/AerialImages/Polatli/frame_1114.tif,416960,4404061,1242,2
1692609377.38676,../../Data/AerialImages/Polatli/frame_1115.tif,416961,4404093,1242,1
1692609378.12391,../../Data/AerialImages/Polatli/frame_1116.tif,416962,4404115,1242,1
1692609379.80214,../../Data/AerialImages/Polatli/frame_1117.tif,416963,4404166,1242,1
1692609380.83855,../../Data/AerialImages/Polatli/frame_1118.tif,416963,4404198,1241,0
1692609381.99903,../../Data/AerialImages/Polatli/frame_1119.tif,416964,4404233,1241,-1
1692609383.13211,../../Data/AerialImages/Polatli/frame_1120.tif,416963,4404268,1242,0
1692609384.3812,../../Data/AerialImages/Polatli/frame_1121.tif,416963,4404306,1242,-1
1692609385.40006,../../Data/AerialImages/Polatli/frame_1122.tif,416963,4404337,1242,-2
1692609386.56572,../../Data/AerialImages/Polatli/frame_1123.tif,416962,4404372,1242,-1
1692609387.68146,../../Data/AerialImages/Polatli/frame_1124.tif,416961,4404406,1242,-1
